promotion_id,discount_pct
1,10
2,30
3,20
4,10
5,25
6,25
7,5
8,10
9,30
10,15
11,5
12,20
13,30
14,20
15,30
16,5
17,25
18,20
19,30
20,20
21,25
22,5
23,5
24,25
25,5
26,30
27,5
28,25
29,15
30,20
31,20
32,15
33,15
34,20
35,25
36,25
37,15
38,15
39,5
40,25
41,10
42,15
43,30
44,25
45,15
46,15
47,10
48,20
49,5
50,30
51,30
52,10
53,10
54,20
55,20
56,20
57,5
58,25
59,5
60,15
61,25
62,30
63,20
64,5
65,25
66,5
67,10
68,5
69,30
70,15
71,20
72,25
73,30
74,30
75,5
76,15
77,15
78,25
79,15
80,10
81,25
82,15
83,25
84,15
85,15
86,5
87,5
88,5
89,10
90,15
91,5
92,5
93,30
94,30
95,10
96,30
97,5
98,5
99,15
100,10
101,5
102,30
103,30
104,10
105,10
106,25
107,30
108,10
109,25
110,5
111,20
112,30
113,15
114,20
115,25
116,20
117,25
118,30
119,5
120,30
121,30
122,30
123,15
124,20
125,15
126,30
127,15
128,10
129,25
130,5
131,15
132,10
133,15
134,15
135,5
136,30
137,15
138,15
139,5
140,30
141,30
142,15
143,15
144,15
145,30
146,10
147,25
148,30
149,25
150,30
151,30
152,5
153,10
154,5
155,20
156,15
157,5
158,20
159,5
160,15
161,15
162,30
163,25
164,20
165,25
166,10
167,10
168,25
169,25
170,5
171,10
172,10
173,5
174,20
175,5
176,30
177,20
178,25
179,15
180,30
181,10
182,20
183,5
184,25
185,20
186,10
187,25
188,30
189,5
190,30
191,25
192,15
193,20
194,25
195,15
196,20
197,5
198,30
199,30
200,10
201,15
202,10
203,15
204,10
205,30
206,25
207,30
208,25
209,25
210,5
211,25
212,25
213,5
214,5
215,25
216,15
217,10
218,15
219,30
220,15
221,15
222,15
223,5
224,5
225,15
226,5
227,25
228,15
229,20
230,15
231,25
232,15
233,5
234,15
235,10
236,20
237,20
238,15
239,15
240,20
241,25
242,30
243,30
244,5
245,20
246,5
247,15
248,25
249,20
250,25
251,30
252,30
253,25
254,25
255,25
256,10
257,10
258,15
259,25
260,15
261,5
262,25
263,25
264,20
265,30
266,25
267,30
268,10
269,5
270,15
271,25
272,30
273,5
274,30
275,15
276,25
277,25
278,5
279,15
280,5
281,15
282,25
283,25
284,25
285,20
286,5
287,20
288,15
289,20
290,10
291,25
292,20
293,15
294,5
295,5
296,15
297,20
298,30
299,25
300,15
301,10
302,10
303,5
304,5
305,30
306,5
307,30
308,20
309,20
310,30
311,25
312,5
313,30
314,10
315,20
316,20
317,10
318,20
319,20
320,30
321,30
322,15
323,25
324,25
325,5
326,25
327,30
328,5
329,25
330,5
331,15
332,25
333,30
334,25
335,25
336,10
337,25
338,20
339,30
340,20
341,5
342,20
343,25
344,25
345,15
346,10
347,30
348,25
349,30
350,25
351,25
352,15
353,25
354,15
355,25
356,5
357,10
358,10
359,15
360,25
361,5
362,25
363,25
364,25
365,20
366,5
367,20
368,10
369,10
370,30
371,20
372,30
373,15
374,15
375,30
376,20
377,30
378,5
379,20
380,25
381,25
382,25
383,5
384,20
385,5
386,25
387,20
388,10
389,25
390,25
391,5
392,5
393,10
394,5
395,20
396,30
397,5
398,20
399,15
400,30
401,15
402,25
403,30
404,5
405,10
406,10
407,10
408,20
409,5
410,15
411,5
412,20
413,25
414,15
415,15
416,15
417,10
418,15
419,30
420,5
421,25
422,5
423,5
424,10
425,10
426,10
427,30
428,30
429,25
430,5
431,30
432,30
433,5
434,15
435,25
436,5
437,5
438,20
439,15
440,15
441,25
442,20
443,25
444,5
445,5
446,10
447,10
448,10
449,25
450,5
451,5
452,10
453,10
454,10
455,10
456,20
457,5
458,5
459,30
460,5
461,5
462,5
463,20
464,25
465,25
466,25
467,5
468,15
469,20
470,25
471,15
472,30
473,30
474,25
475,25
476,30
477,25
478,20
479,15
480,15
481,25
482,10
483,20
484,20
485,15
486,15
487,5
488,25
489,5
490,5
491,10
492,20
493,10
494,30
495,30
496,15
497,30
498,5
499,5
500,15
